MatchID;Team;Opponent;StartFrameID;EndFrameID;Intervall;Shot;BP;BP3rd;BPBox;Goal;Cross;PassBox;Pass3rd;Corner;TackWon;EntrBox;Entr3rd;Danger;OutpOpp;Shot_diff;BP_diff;BP3rd_diff;BPBox_diff;Goal_diff;Cross_diff;PassBox_diff;Pass3rd_diff;Corner_diff;TackWon_diff;OutpOpp_diff;EntrBox_diff;Entr3rd_diff;Danger_diff
Match_synth_93;Team_synth_28;Team_synth_31;10000;10124;1;0;84;0;0;0;0;0;0;0;0;0;0;0,5361917412058357;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0,5361917412058357
Match_synth_93;Team_synth_28;Team_synth_31;10125;10249;2;0;99;0;0;0;0;0;0;0;0;0;0;0,0;0;0;99;0;0;0;0;0;0;0;0;0;0;-1;-0,036665546449257354
Match_synth_93;Team_synth_28;Team_synth_31;10250;10374;3;0;30;0;0;0;0;0;0;0;0;0;0;0,1753899438616307;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0,1753899438616307
Match_synth_93;Team_synth_28;Team_synth_31;10375;10499;4;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;-68;0;0;0;0;0;0;0;0;0;-1;0;0,0
Match_synth_93;Team_synth_28;Team_synth_31;10500;10624;5;0;44;0;0;0;0;0;0;0;0;0;0;0,9857924643744735;0;0;-4;0;0;0;0;0;0;0;0;0;0;0;0,9631359341247644
Match_synth_93;Team_synth_28;Team_synth_31;10625;10749;6;0;0;0;0;0;0;0;0;0;0;0;0;0,22944993051048465;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,22944993051048465
Match_synth_93;Team_synth_28;Team_synth_31;10750;10874;7;0;69;0;0;0;0;0;0;0;0;0;0;0,14628663313681695;0;0;69;0;0;0;0;0;0;0;0;0;0;0;0,10701431665553508
Match_synth_93;Team_synth_28;Team_synth_31;10875;10999;8;0;0;6;0;0;0;0;0;0;0;0;0;0,0;0;0;-84;6;0;0;0;0;0;0;0;0;0;0;-0,0902829345880402
Match_synth_93;Team_synth_28;Team_synth_31;11000;11124;9;0;76;0;0;0;0;0;0;0;0;0;1;0,0;0;0;76;0;0;0;0;0;0;0;0;0;0;0;-0,0632412227988445
Match_synth_93;Team_synth_28;Team_synth_31;11125;11249;10;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;-60;0;0;0;0;0;0;0;0;0;0;0;-0,07881464051945253
Match_synth_93;Team_synth_28;Team_synth_31;11250;11374;11;0;70;0;0;0;0;0;0;0;0;0;0;0,0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0,0
Match_synth_93;Team_synth_28;Team_synth_31;11375;11499;12;0;105;0;0;0;0;0;2;0;0;0;0;0,0;0;0;72;0;0;0;0;0;2;0;0;0;0;0;-0,10647758279977099
Match_synth_93;Team_synth_28;Team_synth_31;11500;11624;13;0;32;78;0;0;0;0;2;0;0;0;0;0,14935993655896734;0;0;17;66;0;0;0;0;2;0;0;0;0;0;0,025343379041452535
Match_synth_93;Team_synth_28;Team_synth_31;11625;11749;14;0;0;0;0;0;0;0;0;0;0;0;0;0,7300948433409745;0;0;-32;0;0;0;0;0;0;0;0;0;0;0;0,6768391699916243
Match_synth_93;Team_synth_28;Team_synth_31;11750;11874;15;0;109;101;0;0;0;0;0;0;0;0;0;0,10699627796119358;0;0;109;101;-1;0;0;0;0;0;0;0;0;0;0,10699627796119358
Match_synth_93;Team_synth_28;Team_synth_31;11875;12838;16;0;17;0;0;0;0;0;0;0;0;0;0;0,0;0;0;-69;0;0;0;0;0;0;0;0;0;0;0;-0,11227272363464712
Match_synth_93;Team_synth_28;Team_synth_31;12839;12963;17;0;51;0;0;0;0;0;0;0;0;0;0;0,0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0,0
Match_synth_93;Team_synth_28;Team_synth_31;12964;13088;18;0;33;0;0;0;0;0;0;0;0;0;0;0,0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0,0
Match_synth_93;Team_synth_28;Team_synth_31;13089;13213;19;0;82;0;3;0;0;0;0;0;0;0;0;0,05925634277296144;0;0;4;0;3;0;0;0;0;0;0;-1;0;0;0,05925634277296144
Match_synth_93;Team_synth_28;Team_synth_31;13214;13338;20;0;0;0;0;0;0;0;0;0;0;0;0;0,10433746430117757;0;0;-39;0;0;0;0;0;0;0;0;0;0;0;0,07998212740190302
Match_synth_93;Team_synth_28;Team_synth_31;13339;13463;21;0;0;0;0;0;0;0;0;0;0;0;0;0,0855074516822669;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0855074516822669
Match_synth_93;Team_synth_28;Team_synth_31;13464;13588;22;0;0;0;0;0;0;0;0;0;0;0;0;0,0;1;0;-22;0;0;0;0;0;0;0;0;1;0;0;-0,010634551559303321
Match_synth_93;Team_synth_28;Team_synth_31;13589;14432;23;0;94;0;0;0;0;0;0;0;0;0;0;0,0;0;0;94;0;0;0;0;0;0;0;0;0;0;0;0,0
Match_synth_93;Team_synth_28;Team_synth_31;14433;14557;24;0;27;0;0;0;0;0;0;0;0;0;0;0,0;3;0;27;0;0;0;0;0;0;0;0;3;0;0;0,0
Match_synth_93;Team_synth_28;Team_synth_31;14558;14682;25;0;0;0;0;0;0;0;0;0;0;0;0;0,03788725427450077;0;0;-76;0;0;0;0;0;0;0;0;0;0;0;0,03788725427450077
Match_synth_93;Team_synth_28;Team_synth_31;14683;14807;26;0;36;0;0;0;0;0;0;0;0;0;0;0,0;6;0;36;0;0;0;0;0;0;0;0;6;0;0;0,0
Match_synth_93;Team_synth_28;Team_synth_31;14808;14932;27;0;0;0;0;0;0;0;0;0;0;0;0;0,4095038095255617;0;0;-66;0;0;0;0;0;0;0;0;0;0;0;0,4095038095255617
Match_synth_93;Team_synth_28;Team_synth_31;14933;15057;28;0;95;0;0;0;0;0;0;0;0;0;0;0,16538697941553296;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0,16538697941553296
Match_synth_93;Team_synth_28;Team_synth_31;15058;15182;29;0;62;0;0;0;0;0;0;0;0;0;0;0,0;0;0;62;0;0;0;0;0;0;0;0;0;0;0;0,0
Match_synth_93;Team_synth_28;Team_synth_31;15183;15307;30;0;94;0;0;0;0;0;0;0;0;0;0;0,0;0;0;-15;0;0;0;0;0;0;0;0;0;0;0;0,0
Match_synth_93;Team_synth_28;Team_synth_31;15308;15432;31;0;69;0;0;0;0;0;0;1;0;0;0;0,01740707685007426;0;0;-10;-75;0;0;0;0;0;1;0;0;0;0;0,01740707685007426
Match_synth_93;Team_synth_28;Team_synth_31;15433;15904;32;0;0;0;0;0;0;0;1;0;0;0;0;0,0;0;0;-7;0;0;0;0;0;1;0;0;0;0;0;-0,11313408278958464
Match_synth_93;Team_synth_28;Team_synth_31;15905;16029;33;0;101;0;0;0;0;0;0;0;0;0;0;0,0636799752028749;0;0;-24;0;0;0;0;0;0;0;0;0;0;0;-0,0023189772756000565
Match_synth_93;Team_synth_28;Team_synth_31;16030;16272;34;0;24;0;0;0;0;0;0;0;0;0;0;0,0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0,0
Match_synth_93;Team_synth_28;Team_synth_31;16273;16397;35;0;39;0;0;0;0;0;0;0;0;0;0;0,19895169709916113;0;-1;-4;0;0;0;0;0;0;0;0;0;0;0;0,13058156509569158
Match_synth_93;Team_synth_28;Team_synth_31;16398;16522;36;0;5;0;0;0;0;0;0;0;0;0;0;0,08759822506994468;0;-1;-31;0;0;0;0;0;0;0;0;0;0;0;0,08759822506994468
Match_synth_93;Team_synth_28;Team_synth_31;16523;16647;37;0;115;0;0;0;0;0;0;0;0;0;0;0,13079517272013172;0;0;115;0;0;0;0;0;0;0;0;0;0;0;0,13079517272013172
Match_synth_93;Team_synth_28;Team_synth_31;16648;16941;38;0;83;71;0;0;0;0;0;0;0;0;0;0,0;0;0;40;71;0;0;0;0;0;0;0;0;0;0;-0,15254689958143777
Match_synth_93;Team_synth_28;Team_synth_31;16942;17473;39;0;0;0;44;0;0;0;0;0;0;0;0;0,00047149840330275956;0;0;-84;0;44;0;0;0;0;0;0;0;0;0;-3,4341331921889973
Match_synth_93;Team_synth_28;Team_synth_31;17474;17598;40;0;0;0;0;0;0;0;0;0;0;0;0;0,12428926467294774;0;0;-11;0;0;0;0;0;0;0;0;0;0;0;0,06094923084703645
Match_synth_93;Team_synth_28;Team_synth_31;17599;18003;41;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;0,0
Match_synth_93;Team_synth_28;Team_synth_31;18004;18128;42;0;16;0;0;0;0;0;0;0;0;0;0;0,0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;-0,06013270264226845
Match_synth_93;Team_synth_28;Team_synth_31;18129;18253;43;0;0;0;0;0;0;0;0;0;0;0;0;0,0;0;0;-10;0;0;0;0;0;0;0;0;0;0;0;-0,03810761355179416
Match_synth_93;Team_synth_28;Team_synth_31;18254;18378;44;0;0;35;0;0;0;0;0;0;0;0;0;0,0;0;0;-125;35;0;0;0;0;0;0;0;0;0;0;-0,029540603741065787
Match_synth_93;Team_synth_28;Team_synth_31;18379;18503;45;0;0;0;0;0;0;0;0;0;0;0;0;0,08162310476243827;0;0;-21;0;0;0;0;0;0;0;0;0;0;0;0,08162310476243827
Match_synth_93;Team_synth_28;Team_synth_31;18504;18628;46;0;70;0;0;0;0;0;0;0;0;0;0;0,3447578997336105;0;0;70;0;0;0;-1;0;0;0;0;0;0;0;0,3426459933873608
Match_synth_93;Team_synth_28;Team_synth_31;18629;18967;47;0;62;0;0;0;0;0;0;0;0;0;0;0,331146942365214;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0,331146942365214
Match_synth_93;Team_synth_28;Team_synth_31;18968;19092;48;0;104;0;0;0;0;0;0;0;0;0;0;0,0;0;0;104;0;0;0;0;0;0;0;0;0;0;0;0,0
Match_synth_93;Team_synth_28;Team_synth_31;19093;19217;49;0;72;3;0;0;0;0;0;0;0;0;0;0,0;0;0;72;3;0;0;0;0;0;0;0;0;0;0;-0,008897766984323393
Match_synth_93;Team_synth_28;Team_synth_31;19218;19342;50;0;80;0;0;0;0;0;0;0;0;0;0;0,19258758405875967;0;0;66;0;0;0;0;0;0;0;0;0;0;0;0,19258758405875967
Match_synth_93;Team_synth_28;Team_synth_31;19343;19467;51;0;66;36;0;0;0;0;0;0;0;0;0;0,03574507410940434;0;0;66;-73;0;0;0;0;0;0;0;0;0;0;0,03574507410940434
